Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
100,0.606798,0.770700,11.25,11.21,100,10,10,0.20,0.20,0,0.00,0.00,1.13,1.12,11.25,11.21
200,0.573461,0.746055,13.73,13.66,200,10,10,0.20,0.20,0,0.00,0.00,1.37,1.37,13.74,13.66
300,0.553276,0.731498,17.01,16.93,300,10,10,0.20,0.20,0,0.00,0.00,1.70,1.69,17.01,16.94
400,0.538871,0.719986,19.86,19.73,400,10,10,0.20,0.20,0,0.00,0.00,1.99,1.97,19.86,19.73
500,0.528236,0.711646,23.57,23.51,500,10,10,0.20,0.20,0,0.00,0.00,2.36,2.35,23.57,23.51
600,0.517799,0.703139,26.69,26.62,600,10,10,0.20,0.20,0,0.00,0.00,2.67,2.66,26.69,26.62
700,0.510619,0.697405,30.13,30.04,700,10,10,0.20,0.20,0,0.00,0.00,3.01,3.00,30.13,30.04
800,0.502710,0.691006,33.49,33.38,800,10,10,0.20,0.20,0,0.00,0.00,3.35,3.34,33.49,33.39
900,0.495612,0.684631,37.33,37.16,900,10,10,0.20,0.20,0,0.00,0.00,3.73,3.72,37.33,37.16
1000,0.490219,0.680292,40.95,40.84,1000,10,10,0.20,0.20,0,0.00,0.00,4.10,4.08,40.96,40.84

K-Means++
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
100,0.602868,0.767055,33.83,33.74,100,10,10,0.20,0.20,1,22.67,22.61,1.12,1.11,33.83,33.74
200,0.571781,0.744839,61.92,61.75,200,10,10,0.20,0.20,1,48.02,47.90,1.39,1.39,61.92,61.75
300,0.553958,0.732156,90.67,90.41,300,10,10,0.20,0.20,1,73.49,73.29,1.72,1.71,90.67,90.42
400,0.538664,0.719423,117.78,117.47,400,10,10,0.20,0.20,1,98.11,97.86,1.97,1.96,117.78,117.47
500,0.528663,0.712358,145.25,144.82,500,10,10,0.20,0.20,1,121.81,121.49,2.34,2.33,145.25,144.82
600,0.519860,0.705505,174.71,174.24,600,10,10,0.20,0.20,1,148.14,147.75,2.66,2.65,174.71,174.24
700,0.512208,0.700037,202.54,201.95,700,10,10,0.20,0.20,1,172.73,172.29,2.98,2.97,202.54,201.96
800,0.505821,0.695329,232.00,231.39,800,10,10,0.20,0.20,1,198.41,197.89,3.36,3.35,232.00,231.39
900,0.498863,0.689658,262.35,261.65,900,10,10,0.20,0.20,1,224.67,224.08,3.77,3.76,262.35,261.65
1000,0.492659,0.684326,291.81,290.98,1000,10,10,0.20,0.20,1,250.35,249.68,4.15,4.13,291.81,290.98

K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
100,0.606984,0.770295,14.60,14.55,100,10,10,0.20,0.20,2,3.65,3.64,1.10,1.09,14.60,14.56
200,0.572158,0.745412,19.34,19.29,200,10,10,0.20,0.20,2,6.33,6.31,1.30,1.30,19.34,19.29
300,0.551596,0.729456,26.05,25.96,300,10,10,0.20,0.20,2,9.46,9.40,1.66,1.66,26.05,25.96
400,0.539577,0.720635,32.78,32.68,400,10,10,0.20,0.20,2,12.77,12.72,2.00,2.00,32.78,32.68
500,0.525948,0.710204,39.37,39.22,500,10,10,0.20,0.20,2,16.10,16.01,2.33,2.32,39.37,39.22
