Random
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.171974,0.639007,0.793125,0.637583,6.15,17.61,0.2,0.2,0
100,0.11825,0.606798,0.7707,0.710629,11.25,11.21,0.2,0.2,0
150,0.090774,0.586477,0.755278,0.735899,9,20.48,0.2,0.2,0
200,0.073169,0.573461,0.746055,0.74599,13.73,13.66,0.2,0.2,0
250,0.061395,0.562569,0.738237,0.7629,11.54,23.02,0.2,0.2,0
300,0.054814,0.553276,0.731498,0.774268,17.01,16.93,0.2,0.2,0
350,0.045955,0.545976,0.725459,0.773891,14.35,25.83,0.2,0.2,0
400,0.041157,0.538871,0.719986,0.779341,19.86,19.73,0.2,0.2,0
450,0.037617,0.533008,0.715278,0.78209,16.92,28.14,0.2,0.2,0
500,0.033761,0.528236,0.711646,0.784788,23.57,23.51,0.2,0.2,0

K-Means++
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.166165,0.636913,0.790582,0.636533,6.83,36.34,0.2,0.2,1
100,0.109289,0.602868,0.767055,0.700409,33.83,33.74,0.2,0.2,1
150,0.082055,0.583291,0.75267,0.735481,10.74,75.23,0.2,0.2,1
200,0.069169,0.571781,0.744839,0.753289,61.92,61.75,0.2,0.2,1
250,0.061865,0.56255,0.738125,0.762911,14.62,116.23,0.2,0.2,1
300,0.055347,0.553958,0.732156,0.771894,90.67,90.41,0.2,0.2,1
350,0.047847,0.546293,0.726183,0.781843,18.48,159.34,0.2,0.2,1
400,0.043085,0.538664,0.719423,0.787049,117.78,117.47,0.2,0.2,1
450,0.039743,0.533288,0.715769,0.7921,22.38,197.55,0.2,0.2,1
500,0.037152,0.528663,0.712358,0.793989,145.25,144.82,0.2,0.2,1

K-Means||
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.170184,0.633198,0.78801,0.656773,7.81,20.11,0.2,0.2,2
100,0.11199,0.606984,0.770295,0.698857,14.6,14.55,0.2,0.2,2
150,0.085821,0.585002,0.753986,0.736756,13.12,25.4,0.2,0.2,2
200,0.076032,0.572158,0.745412,0.75317,19.34,19.29,0.2,0.2,2
250,0.055206,0.561248,0.736669,0.762345,17.69,30.14,0.2,0.2,2
300,0.051894,0.551596,0.729456,0.772384,26.05,25.96,0.2,0.2,2
350,0.046594,0.543348,0.72301,0.77848,23.91,36.33,0.2,0.2,2
400,0.044469,0.539577,0.720635,0.78367,32.78,32.68,0.2,0.2,2
450,0.037862,0.53351,0.715707,0.784705,29.8,42.66,0.2,0.2,2
500,0.035106,0.525948,0.710204,0.790399,39.37,39.22,0.2,0.2,2

SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.218115,0.635006,0.787395,0.640882,11.06,11.02,0.2,0.2,3
100,0.142708,0.603492,0.766019,0.688841,13.74,13.68,0.2,0.2,3
150,0.111,0.582669,0.749407,0.706864,16.08,16,0.2,0.2,3
200,0.084409,0.567693,0.738293,0.721887,18.85,18.78,0.2,0.2,3
250,0.06856,0.556092,0.728834,0.738495,21.14,21.07,0.2,0.2,3
300,0.062498,0.546523,0.721707,0.750579,26.73,26.64,0.2,0.2,3
350,0.060048,0.540312,0.716753,0.76193,30.39,30.29,0.2,0.2,3
400,0.053462,0.533796,0.712352,0.770211,36.2,36.08,0.2,0.2,3
450,0.048151,0.526224,0.70636,0.77789,42.72,42.58,0.2,0.2,3
500,0.043673,0.520442,0.701358,0.772238,48.78,48.62,0.2,0.2,3


50,0.184402,0.630016,0.784228,0.666234,10.95,10.9,0.2,0.2,3

50,0.184402,0.630016,0.784228,0.666234,10.95,10.9,0.2,0.2,3
50,0.189602,0.63265,0.786272,0.656507,11.09,11.03,0.2,0.2,3
50,0.188456,0.634043,0.788668,0.654326,11.03,10.98,0.2,0.2,3
50,0.18143,0.634915,0.788824,0.63508,10.86,10.81,0.2,0.2,3
50,0.159829,0.633244,0.787909,0.631141,11.45,11.41,0.2,0.2,3
50,0.177929,0.632901,0.788107,0.649417,10.77,10.73,0.2,0.2,3
50,0.188812,0.636466,0.789158,0.638055,11.04,10.99,0.2,0.2,3
50,0.169527,0.633243,0.787643,0.645184,11.27,11.22,0.2,0.2,3
50,0.175674,0.634836,0.788862,0.638016,11.16,11.1,0.2,0.2,3
50,0.167611,0.633383,0.787632,0.647787,10.94,10.88,0.2,0.2,3
50,0.181173,0.631685,0.786716,0.648854,11.13,11.08,0.2,0.2,3
50,0.169913,0.632975,0.786264,0.639087,11.02,10.98,0.2,0.2,3
50,0.168759,0.632499,0.786637,0.625799,11.05,10.99,0.2,0.2,3
50,0.18063,0.634889,0.789196,0.644053,10.17,10.14,0.2,0.2,3
50,0.175231,0.633422,0.786625,0.661401,10.92,10.88,0.2,0.2,3
50,0.218115,0.635006,0.787395,0.640882,11.06,11.02,0.2,0.2,3
50,0.195271,0.634297,0.787061,0.650058,11.19,11.15,0.2,0.2,3
50,0.178346,0.630807,0.785336,0.656084,11.19,11.15,0.2,0.2,3

100,0.142708,0.603492,0.766019,0.688841,13.74,13.68,0.2,0.2,3
100,0.115313,0.603292,0.764657,0.673765,13.59,13.54,0.2,0.2,3
100,0.126587,0.603064,0.764378,0.675022,13.63,13.57,0.2,0.2,3
100,0.118194,0.604141,0.765361,0.664715,13.61,13.55,0.2,0.2,3
100,0.144763,0.605074,0.766781,0.684158,13.43,13.37,0.2,0.2,3
100,0.117224,0.601357,0.762995,0.666726,13.53,13.49,0.2,0.2,3
100,0.116492,0.601687,0.76412,0.667653,13.59,13.54,0.2,0.2,3
100,0.12599,0.601143,0.763256,0.680479,13.57,13.52,0.2,0.2,3
100,0.120527,0.603633,0.764842,0.666222,13.69,13.63,0.2,0.2,3
100,0.115901,0.603653,0.765375,0.656786,13.98,13.92,0.2,0.2,3
100,0.11593,0.601526,0.763535,0.673312,13.92,13.86,0.2,0.2,3
100,0.120562,0.599951,0.761606,0.681647,13.67,13.62,0.2,0.2,3
100,0.115515,0.600841,0.76234,0.663985,13.94,13.88,0.2,0.2,3
100,0.11354,0.60064,0.763071,0.675037,13.99,13.92,0.2,0.2,3
100,0.112953,0.601608,0.762979,0.665176,13.83,13.77,0.2,0.2,3
100,0.110906,0.603199,0.764105,0.646667,13.94,13.88,0.2,0.2,3
100,0.118669,0.60217,0.763949,0.677647,14.28,14.22,0.2,0.2,3
100,0.117811,0.600892,0.762417,0.6764,13.87,13.81,0.2,0.2,3

150,0.088829,0.583244,0.749794,0.698613,15.97,15.89,0.2,0.2,3
150,0.093687,0.58444,0.749662,0.683862,16.38,16.32,0.2,0.2,3
150,0.100224,0.582501,0.748844,0.702792,15.54,15.47,0.2,0.2,3
150,0.092865,0.581203,0.747317,0.701609,16.14,16.08,0.2,0.2,3
150,0.091276,0.581741,0.748771,0.696292,16.14,16.07,0.2,0.2,3
150,0.09327,0.584495,0.750413,0.692179,16.02,15.94,0.2,0.2,3
150,0.0892,0.582198,0.748228,0.706222,16.19,16.13,0.2,0.2,3
150,0.092472,0.582753,0.750862,0.712968,16.07,16.01,0.2,0.2,3
150,0.09281,0.581747,0.748244,0.697408,16.21,16.14,0.2,0.2,3
150,0.09065,0.582606,0.749557,0.699426,16.41,16.34,0.2,0.2,3
150,0.092175,0.58211,0.748671,0.701313,16.61,16.55,0.2,0.2,3
150,0.097778,0.58311,0.750404,0.710429,16.2,16.13,0.2,0.2,3
150,0.091725,0.581304,0.748519,0.700358,16.97,16.91,0.2,0.2,3
150,0.088768,0.582705,0.748413,0.703285,16.95,16.88,0.2,0.2,3
150,0.111,0.582669,0.749407,0.706864,16.08,16,0.2,0.2,3
150,0.105106,0.583808,0.750461,0.695064,16.27,16.21,0.2,0.2,3
150,0.08777,0.584128,0.751074,0.696322,16.86,16.8,0.2,0.2,3
150,0.092657,0.579419,0.747647,0.723548,16.39,16.33,0.2,0.2,3
150,0.092776,0.580686,0.747474,0.711807,16.2,16.13,0.2,0.2,3
150,0.10244,0.585191,0.751303,0.695124,16.44,16.38,0.2,0.2,3
150,0.095054,0.58353,0.750131,0.699774,16.88,16.79,0.2,0.2,3

200,0.077929,0.567438,0.738245,0.720015,18.07,18,0.2,0.2,3
200,0.083189,0.569227,0.739598,0.723581,18.56,18.5,0.2,0.2,3
200,0.084409,0.567693,0.738293,0.721887,18.85,18.78,0.2,0.2,3
200,0.081945,0.568757,0.73923,0.726856,18.82,18.75,0.2,0.2,3
200,0.074473,0.568157,0.738498,0.718187,18.76,18.69,0.2,0.2,3
200,0.082689,0.570301,0.740977,0.723755,18.69,18.61,0.2,0.2,3
200,0.075469,0.568426,0.73887,0.721479,19.08,19.02,0.2,0.2,3
200,0.086018,0.569658,0.739452,0.716598,19.21,19.15,0.2,0.2,3
200,0.082809,0.569961,0.739619,0.721675,19.24,19.17,0.2,0.2,3
200,0.076401,0.570054,0.739206,0.715989,19.18,19.12,0.2,0.2,3
200,0.073004,0.570518,0.740025,0.700669,19.36,19.3,0.2,0.2,3
200,0.075736,0.568836,0.738644,0.719189,19.13,19.07,0.2,0.2,3
200,0.082204,0.571114,0.74148,0.712451,19.12,19.06,0.2,0.2,3
200,0.08005,0.569717,0.739401,0.71619,19.2,19.14,0.2,0.2,3
200,0.078198,0.567585,0.738019,0.728179,19.18,19.13,0.2,0.2,3

250,0.06856,0.556092,0.728834,0.738495,21.14,21.07,0.2,0.2,3
